eating_place,busy_metric,time_day,day_week
Whispers,137.04265174587806,11.5,T
Stanleys,81.81445908211279,11.5,T
Law Cafe,85.08669672264048,11.5,T
Bytes,0.286681231346065,11.5,T
Hillman Food,30.236875677831932,11.5,W
DUC,66.31287517815892,11.5,W
Subway,79.52078347583502,11.5,W
Parkside,31.628652746349374,11.5,W
Whispers,106.8764049049052,11.5,W
Stanleys,56.11551017071723,11.5,W
Law Cafe,54.462955577482425,11.5,W
Bytes,0.580271258957469,11.5,W
Hillman Food,43.984741389310145,11.5,H
DUC,96.03145233535497,11.5,H
Subway,112.58832709243721,11.5,H
Parkside,46.3427939420281,11.5,H
Whispers,140.4930431330994,11.5,H
Stanleys,80.77648438916367,11.5,H
Law Cafe,80.60573080424533,11.5,H
Bytes,0.5742008178544235,11.5,H
Hillman Food,25.998291335501953,11.5,F
DUC,58.40985517433642,11.5,F
Subway,68.64704728898418,11.5,F
Parkside,26.343230023291582,11.5,F
Whispers,87.95243375836766,11.5,F
Stanleys,47.525972059354004,11.5,F
Law Cafe,48.15515412491182,11.5,F
Bytes,0.2959210697866478,11.5,F
Hillman Food,106.94027869820911,12.0,M
DUC,238.82877784248774,12.0,M
Subway,276.07701149498587,12.0,M
Parkside,109.01635212806464,12.0,M
Whispers,335.8035012766677,12.0,M
Stanleys,193.0310846677189,12.0,M
Law Cafe,199.58667443446618,12.0,M
Bytes,0.8387608336441387,12.0,M
Hillman Food,45.58128614654917,12.0,T
DUC,101.73597961231359,12.0,T
Subway,116.25638287788799,12.0,T
Parkside,46.834173164034446,12.0,T
Whispers,135.93396772699975,12.0,T
Stanleys,81.9382704660903,12.0,T
Law Cafe,85.63348917076841,12.0,T
Bytes,0.2548277592957395,12.0,T
Hillman Food,118.5990001801135,12.0,W
DUC,263.9228855765696,12.0,W
Subway,304.277674327864,12.0,W
Parkside,121.22628163836882,12.0,W
Whispers,367.3896600690939,12.0,W
Stanleys,213.26750137298646,12.0,W
Law Cafe,221.0171098967556,12.0,W
Bytes,0.913724309526121,12.0,W
Hillman Food,35.17754268429947,12.0,H
DUC,76.64172234885932,12.0,H
Subway,90.35854583546711,12.0,H
Parkside,37.19429172543897,12.0,H
Whispers,114.37038813902635,12.0,H
Stanleys,64.9404474775408,12.0,H
Law Cafe,64.20300334152424,12.0,H
Bytes,0.5104007250809527,12.0,H
Hillman Food,103.67860165497714,12.0,F
DUC,231.80524192101157,12.0,F
Subway,267.01408517322864,12.0,F
Parkside,105.3130929508492,12.0,F
Whispers,321.87530903396174,12.0,F
Stanleys,186.54900508963186,12.0,F
Law Cafe,193.98018792936182,12.0,F
Bytes,0.7028921767631087,12.0,F
Hillman Food,97.09858503493282,12.1,M
DUC,216.8775856035248,12.1,M
Subway,250.65666713208066,12.1,M
Parkside,98.96148431965162,12.1,M
Whispers,304.7383099846796,12.1,M
Stanleys,175.23542269292733,12.1,M
Law Cafe,181.2512857678352,12.1,M
Bytes,0.7553881727768875,12.1,M
