1_value,2_value,3_value,4_value,5_value,EV,max_suit,win_rate
0,3,9,10,11,0.373888,3,0.4852
0,2,5,5,9,0.519827,3,0.73492
0,0,1,2,12,0.487805,2,0.58344
0,2,7,8,12,0.344095,2,0.47916
0,0,1,5,11,0.44347,3,0.46612
0,0,2,3,11,0.435204,2,0.43416
0,1,2,3,11,0.478201,3,0.53044
0,0,2,2,9,0.618809,2,0.61676
0,1,8,9,12,0.37904,3,0.54772
0,4,8,9,10,0.371293,3,0.45164
0,1,3,6,12,0.403954,2,0.47412
0,1,2,7,9,0.328424,3,0.3054
0,2,2,2,4,0.748839,2,0.92776
0,1,3,5,9,0.326191,3,0.21892
0,0,1,2,8,0.428979,2,0.28572
0,1,2,5,12,0.420678,3,0.51664
0,3,8,11,12,0.362807,2,0.51784
0,1,3,4,8,0.393461,3,0.3642
0,7,7,7,8,0.775917,2,0.9286
0,0,3,12,12,0.701476,2,0.85648
0,5,6,9,9,0.577489,3,0.79212
0,3,5,9,10,0.310761,2,0.3606
0,4,9,10,11,0.35228,2,0.479
0,1,3,5,7,0.304429,2,0.23752
0,2,6,9,12,0.344025,2,0.50536
0,2,4,7,11,0.322471,2,0.37312
0,3,4,7,8,0.335269,3,0.28512
0,8,8,9,12,0.569483,3,0.60976
0,4,5,9,11,0.324481,2,0.40856
0,0,1,2,12,0.487805,2,0.58784
0,6,8,9,11,0.544189,4,0.66696
0,0,1,1,8,0.620968,3,0.61888
0,3,6,7,9,0.330871,2,0.33588
0,3,4,8,11,0.351029,3,0.41
0,3,7,10,11,0.337506,2,0.45288
0,0,1,5,10,0.419751,2,0.37756
0,0,3,10,11,0.429038,2,0.49136
0,1,3,4,9,0.397403,3,0.38816
0,4,8,8,11,0.56313,3,0.8104
0,1,2,5,12,0.399674,2,0.46932
0,1,5,12,12,0.600644,2,0.87536
0,4,4,7,9,0.507977,3,0.37108
0,2,5,7,10,0.304368,2,0.35456
0,1,10,10,11,0.587124,3,0.84756
0,2,6,10,11,0.348074,3,0.46568
0,1,2,5,11,0.343705,3,0.391
0,1,4,9,12,0.337044,2,0.4766
0,3,10,10,12,0.578363,2,0.83044
0,1,4,10,11,0.349204,3,0.44544
0,2,4,4,11,0.494292,2,0.68684
