,class_id,day_week,time_day,Building,num_students,Friends
2111,119822,T,16.3,Brown,50,0
2117,119828,T,17.3,Brown,40,0
2123,119834,T,18.3,Brown,40,0
2129,119840,T,19.3,Brown,28,0
2136,119847,W,7.3,Brown,0,0
2142,119853,W,8.3,Brown,0,0
2148,119859,W,9.3,Brown,297,0
2154,119865,W,10.3,Brown,237,0
2160,119871,W,11.3,Brown,54,0
2166,119877,W,12.3,Brown,0,0
2172,119883,W,13.3,Brown,0,0
2178,119889,W,14.3,Brown,0,0
2184,119895,W,15.3,Brown,430,0
2190,119901,W,16.3,Brown,35,0
2196,119907,W,17.3,Brown,0,0
2202,119913,W,18.3,Brown,0,0
2208,119919,W,19.3,Brown,116,0
2215,119926,H,7.3,Brown,0,0
2221,119932,H,8.3,Brown,0,0
2227,119938,H,9.3,Brown,0,0
2233,119944,H,10.3,Brown,248,0
2239,119950,H,11.3,Brown,0,0
2245,119956,H,12.3,Brown,0,0
2251,119962,H,13.3,Brown,84,0
2257,119968,H,14.3,Brown,42,0
2263,119974,H,15.3,Brown,42,0
2269,119980,H,16.3,Brown,46,0
2275,119986,H,17.3,Brown,36,0
2281,119992,H,18.3,Brown,36,0
2287,119998,H,19.3,Brown,0,0
2294,120005,F,7.3,Brown,0,0
2300,120011,F,8.3,Brown,0,0
2306,120017,F,9.3,Brown,297,0
2312,120023,F,10.3,Brown,237,0
2318,120029,F,11.3,Brown,54,0
2324,120035,F,12.3,Brown,0,0
2330,120041,F,13.3,Brown,0,0
2336,120047,F,14.3,Brown,0,0
2342,120053,F,15.3,Brown,430,0
2348,120059,F,16.3,Brown,0,0
2354,120065,F,17.3,Brown,0,0
2360,120071,F,18.3,Brown,0,0
2366,120077,F,19.3,Brown,0,0
2373,120084,M,7.3,Busch,0,0
2379,120090,M,8.3,Busch,0,0
2385,120096,M,9.3,Busch,52,0
2391,120102,M,10.3,Busch,133,0
2397,120108,M,11.3,Busch,552,0
2403,120114,M,12.3,Busch,552,0
2409,120120,M,13.3,Busch,0,0
2415,120126,M,14.3,Busch,82,0
2421,120132,M,15.3,Busch,188,0
2427,120138,M,16.3,Busch,0,0
